course,type,code,description
economics,elective,31071,"In this comprehensive course, students will delve into the world of big data analytics using the powerful framework of Apache Spark. Focusing on PySpark, the Python API for Spark, participants will gain practical skills in handling large-scale data, performing statistical analysis, and employing machine learning techniques. Topics include: sources of big data, structured, unstructured and semi-structured big data, big compute, parallel computing, data wrangling, exploratory data analysis (EDA), machine learning (ML), clusters, Hadoop (HDFS, MapReduce), Spark (RDD, Spark SQL, MLlib, Structured Streaming), feature engineering, training and testing statistical models (supervised and unsupervised learning), Spark ML Pipelines (operating modes, interoperability, deployment). The Python and SQL programming languages are used for assignments and labs. No prior knowledge of Python is required. Course Learning Outcomes . understand the fundamental concepts of big data analysis and learn how to preprocess, clean, and transform data for analysis . wrangle and perform EDA on petabyte-scale data in Spark with PySpark fit statistical models to extract information and predict outcomes, and automate the process in production-ready workflows, in Spark with PySpark use Spark and PySpark for batch and real-time streaming data processing grasp the essentials of distributed computing and master the art of parallel processing in Spark with PySpark . train and test ML algorithms on laptop computers and use the same code to scale to fault- tolerant clusters of up to thousands of machines Grading Basis GRD - Graded Course Units 1"
economics,elective,31311,"This course provides an introduction to the fundamental concepts and principles of modern database management systems (DBMS). Through a balanced blend of theoretical foundations and practical skills, students will learn to design, implement, and manage databases efficiently. On completion of the course, students will possess a comprehensive understanding of database architecture, data modeling, query languages, and database administration techniques. Topics covered include: overview of data management systems, the relational model and relational database concepts, database design and implementation, database querying with Structured Query Language (SQL), exploring the limits of SQL, handling structured, unstructured and semi-structured data, distributed databases, introduction to Not Only SQL (NoSQL), types of NoSQL databases (document, key-value, column-family, graph), database administration best practices, and more. No prior knowledge of SQL is required to enroll. Grading Basis GRD - Graded Course Units 1"
economics,elective,30121,"Recently, state-of-the-art packages for the open-source R language have facilitated the use of key statistical and machine learning (ML) methods, with applications in diverse fields such as genetics, business, social sciences, economics, and actuarial science. This R-centric course aims at introducing more advanced ML methods, which are not covered in the prerequisite course DSA211 Statistical Learning with R. With the background of the other prerequisite STAT201 Probability Theory and Applications, students will learn more advance statistical techniques of how to apply these ML methods with R programming to real-life applications on economics, risk management, actuarial science, etc. Topics include Classification, generalized additive models (GAMs), boosting, Bayesian additive regression trees, tree ensemble methods, support vector machines (SVMs), survival analysis, principal components analysis (PCA), and more. The course is designed to cater to the background and needs of Actuarial Science second major students and Data Science and Analytics second major students. Course Learning Outcomes Upon completion of this course, students will be able to: Comprehend and appreciate statistical learning and ML methods. Build predictive models using regression and classification methods. Apply advanced ML methods to build predictive models. Build survival models with complete, truncated, or censored data. Analyze sets of independent variables using unsupervised learning methods. Grading Basis GRD - Graded Course Units 1"
economics,elective,30671,"This course seeks to introduce students to the various steps in data science via coding in the Python language. Students will be introduced to the basics of coding in Python, as well as various data wrangling and data visualization techniques using Python. Students will then have the opportunity to engage in exploratory data analysis. Thereafter, students will get the opportunity to be exposed to the theoretical knowledge underpinning machine learning. After learning the theoretical knowledge, students will have hands on experience to apply what they have learnt to model real data using machine learning techniques. No prior knowledge in Python is required, but prior knowledge in programming will be helpful. Topics include: Data visualization, data wrangling, exploratory data analysis, theoretical machine learning and applications of machine learning. Course Learning Outcomes The main objective of this course is to teach students how to code in Python and use Python in approaching and solving various data science problems. Students will learn to: . Basics of Python programming (e.g., built-in functions, custom-functions, loops, logical conditions) Wrangle data (e.g., Pandas, NumPy) and Visualize data (e.g., Matplotlib, Plotly, Seaborn) Exploratory data analysis (e.g., Pandas-Profiling, Sweetviz, Autoviz, D-Tale) Machine Learning Theory (e.g., supervised learning, unsupervised learning, deep learning) Machine Learning Applications (e.g., Scikit-learn, statsmodels, TensorFlow, PyTorch, SciPy) Grading Basis GRD - Graded Course Units 1"
economics,elective,421,"This course provides students with a foundational study of the concepts and theories underlying individual choice, economic interactions in markets and public organisations. The approach combines economic intuition with a rigorous treatment of concepts taught in introductory economics. Students will learn a set of analytical tools, including marginal analysis, and be equipped with the knowledge to take advanced courses. The applicability of concepts to practical situations and linkages to various economic fields will be discussed. Grading Basis GRD - Graded Course Units 1"
economics,elective,441,"This course aims to provide you with a deep understanding of macroeconomic policy issues such as the impact of tax cuts on the economy, the design of a social security system or an unemployment insurance scheme, and the conduct of monetary policy, as well as macroeconomic phenomena such as business cycles, growth and development. To that aim students will be introduced to modern macroeconomic theory which requires getting ourselves familiar with formal macroeconomic models built on microfoundations. We will then use these newly acquired tools to make sense of macroeconomic events, as well as analyze carefully the impact of some macroeconomic policies on the economy and their welfare implications. Grading Basis GRD - Graded Course Units 1"
economics,elective,451,"This course aims to equip business students with the basic knowledge and skill to analyse international economic issues. Such issues broadly fall into two categories. The first is concerned with commodity trade, which studies why countries trade, the gains from trade, the consequences of trade on income distribution and on economic growth, and the debate on free trade areas and other policies. The second category is monetary payments, which examines the balance of payments, exchange rate regimes, and other issues concerning internal and external balances of an economy. We emphasise on applying theory to contemporary, especially local and regional issues. Grading Basis GRD - Graded Course Units 1"
economics,elective,471,"In many economic situations, the interactions among individuals and organisations with divergent interests offer scope for both co-operation and competition. This course will introduce students to the basic ideas and principles of game theory, and discuss the application of game-theoretic ideas in business, politics and the social sciences. The Prisoner's Dilemma, Game of Chicken and other common games will be discussed in the course. Students will learn the solution techniques for sequential-move games, simultaneous-move games and learn to analyse economic interactions in a game-theoretic framework. Grading Basis GRD - Graded Course Units 1"
economics,elective,17551,"This course focuses on the interaction and integration among the peoples, corporations, and governments of different nations, involving international trade [goods & services] and finance. Students will learn how technology and geopolitics affect the economic interdependence of nations. They will appreciate how economic policies are shaped and constrained by the interdependence of nations. Savings and investments, taxation, trade, fiscal, monetary, and exchange rate policies cannot be considered in isolation. Regional, trans-regional and multilateral financial and economic institutions impact everyday lives. Jobs, wages, and standards of living are impacted by the forces of globalisation. Course Learning Outcomes The course aims to achieve the following: To equip students with the basic knowledge and skills to understand global economic issues related to international trade, finance, factor mobility, and exchange rates . To help students understand the economic rationale behind major events in the global economy today and think critically about the economic benefits as well as problems of globalization The course aims to provide students with an analytical framework to understand the drivers and the impact of globalization and to acquaint them with the major issues in the global economy today. Grading Basis GRD - Graded Course Units 1"
economics,elective,491,"Since the 1980s, many countries have turned to the private sector to provide services formerly offered by state agencies. With freer markets, an adjacent development has been the introduction of elaborate systems of regulation. This course provides an overview of the economic theory relevant to privatisation and regulation, much of which has been developed in the last two decades. It will examine the following issues: the rationale for privatisation and regulation; strategies for privatisation and options for public regulation; creation of competition and policies toward anti-competitive behavior; evaluation of effects of privatisation and regulation. Particular attention will be paid to the electric power, telecommunications and transport sectors. Relevant cases from different countries will be used to highlight issues and provide a more complete understanding of the options and problems involved. Grading Basis GRD - Graded Course Units 1"
economics,elective,24591,"This course focuses on various aspects of economic globalization in general, but with specific reference to Asia. Students could learn both positive and negative aspects of the many globalization issues in Asia, such as “Choosing the Right Exchange Rate Regime for Small and Open Economies in East Asia”, “Trade liberalization and poverty in Asia” as well as “Singapore's Drive to Form Cross-regional Trade Pacts”. Course Learning Outcomes Be equipped with the basic knowledge and skill to understand global economic issues in Asia such as trade, finance and exchange rates Understand the major issues in the Asian economy today and understand the economic benefits and problems of globalization Grading Basis GRD - Graded Course Units 1"
economics,elective,541,"This course is designed to introduce maritime economics to undergraduates with good economics/business background, who are approaching the subject for the first time. In the context of the international, Asian, and Singaporean economic and business environment, this course develops, in an integrated way, an understanding of the business and economic aspects of the global maritime industries of shipping, ports, and terminals and their institutional framework. Grading Basis GRD - Graded Course Units 1"
economics,elective,551,"This course is designed to introduce 3rd and 4th year undergraduates to the process of formulating a macroeconomic adjustment program, including a consistent set of policies aimed at moving an economy toward internal and external balance. This process is referred to in this course by its traditional International Monetary Fund name, Financial Programming and Policy or FPP. More generally, however, as a macroeconomic management tool, FPP can be used to identify, diagnose, and recommend policy responses to macroeconomic stabilisation problems. This course will provide students the basic quantitative and data-handling skills that are involved in this process. Familiarity with EXCEL or similar spreadsheet software. Grading Basis GRD - Graded Course Units 1"
economics,elective,561,"This course is designed for 3rd and 4th year undergraduates who are interested in the formulation and implementation of policies for the financial sector or in the interaction of these policies with macroeconomic management. It will cover the main analytic and policy issues in the key macroeconomic sectors, describe the formulation of a macroeconomic adjustment program, and explain in detail the theoretical underpinnings and the main policy aspects of financial markets and their regulation, drawing on case studies from a number of countries. The course includes the following elements: (a) Techniques and concepts for analyzing the real, fiscal, monetary, and external sectors of the economy; (b) Current policy issues of interest in each of these sectors, including economic growth and its linkages to macroeconomic adjustment, as well as recent developments and reforms in fiscal, monetary, and exchange rate policies; (c) The nature of financial intermediation and types of financial markets; (d) Financial sector regulation and the role of the central bank; and (e) Causes, consequences, and strategies for remedying banking and currency crises. Grading Basis GRD - Graded Course Units 1"
economics,elective,24581,"In the financial system funds flow from those who have surplus funds to those who have a shortage of funds, either by direct, market-based financing or by indirect, bank-based finance. A well-developed financial system (comprising money, financial instruments, financial markets, financial institutions, government regulatory agencies and central banks) improves the efficiency of financing decisions, favouring a better allocation of resources and thereby economic growth. What is the underlying mechanism that explains the positive relationship between the degree of development of the financial system and economic development? How should elements of both direct, market-based and indirect, bank-based finance be incorporated? What are the comparative advantages of market vs bank-based finance? In cases where the industry faces strong information asymmetries, is bank-based financing an effective solution to adverse selection and moral hazard problems that exist between good and bad borrowers? What are alternative modes of financing, especially for small medium sized enterprises? What role does fintech play in enabling dynamic and inclusive growth? These are some of the questions we will answer in this course. Course Learning Outcomes At the end of the course, students should be able to . use evidence-based economics to answer questions about the role of financial system and if it does what is supposed to do. apply economic concepts and models (e.g. information asymmetry, panel data models) to analyze drivers of economic growth, Grading Basis GRD - Graded Course Units 1"
economics,elective,7941,"This course will cover special topics in Maritime Business Economics and Shipping Finance. In the context of the maritime sector, topics in this course will introduce students to a broad understanding of international shipping and trade issues as well as finance/investment techniques in the shipping industry. Emphasis is given on the critical evaluation of various finance methods as well as techniques of investment appraisal under risky and uncertain situations. Students will be given an opportunity to critically evaluate and test theoretical knowledge through case studies in real life situations. Grading Basis GRD - Graded Course Units 1"
economics,elective,23021,"This course introduces students to data analytics and the particular features of health data and its potential impact on the healthcare industry. Health-related data may be collected from different sources, including patients, hospitals, insurance companies, households, and government. Students will learn how to visualise and analyse the data to extract useful information for better provision of healthcare services. The course will include hands-on analysis of health data and will examine how data analytics can help to improve different aspects of healthcare practices and policies. Course Learning Outcomes Through this course, students will: Build a basic understanding of applying statistical concepts, visualization, and com- monly used data mining techniques in analytics to solving healthcare issues. Learn the formulation of analytics problems in the healthcare domain and developing a data-driven solution approach. Learn analytics tools for data exploration and analysis to uncover insights. Understand the management of healthcare data and support healthcare organizations in designing evidence-based solutions. Grading Basis GRD - Graded Course Units 1"
economics,elective,23031,"Topics covered will include the definition, measurement, management and strategic planning of the quality of healthcare services and approaches to paying for healthcare. There will be an investigation of ways to make service delivery more efficient by improving systems and controls and utilising advanced IT systems. The course will also cover the key management principles for preparedness in the event of major disease outbreaks and their control. Besides health risk management in crisis, students will learn strategies and methods for managing public media and containing the level of public anxiety until the situation returns to normalcy. Under strategic planning, the human resource aspects, and interface management between clinicians and administrators will be discussed. Course Learning Outcomes By the end of this course, students will be able to:  Appreciate the various levels of healthcare service needed for a country.  Identify and understand the factors affecting the quality of healthcare.  Understand how technology can improve the delivery of healthcare.  Analyze how contingencies can affect the delivery of health, to plan for, and to mitigate contingen- cies through planning and risk management.  Apply best practices to assuage anxiety in the public in times of a healthcare crisis. Grading Basis GRD - Graded Course Units 1"
